Contig ID,Size,Lhav_ech1,Lhav F RPKM
Lhav_v2_contig_1,886,8197,101.6112608
Lhav_v2_contig_10,1875,14414,84.43137708
Lhav_v2_contig_100,834,1182,15.56582175
Lhav_v2_contig_1000,1203,389,3.551440974
Lhav_v2_contig_10000,491,26,0.581584044
Lhav_v2_contig_10001,242,123,5.582264012
Lhav_v2_contig_10002,366,0,0
Lhav_v2_contig_10003,1498,873,6.400634932
Lhav_v2_contig_10004,1896,2449,14.18636335
Lhav_v2_contig_10005,2003,2468,13.5327118
Lhav_v2_contig_10006,551,2748,54.77542508
Lhav_v2_contig_10007,216,1066,54.20309439
Lhav_v2_contig_10008,1089,1744,17.5889222
Lhav_v2_contig_10009,1262,3583,31.18229532
Lhav_v2_contig_1001,1101,2199,21.93605556
Lhav_v2_contig_10010,272,666,26.89217645
Lhav_v2_contig_10011,1105,49,0.487028559
Lhav_v2_contig_10012,2281,1709,8.228817005
Lhav_v2_contig_10013,2053,1054,5.638613003
Lhav_v2_contig_10014,879,157,1.961694635
Lhav_v2_contig_10015,567,135,2.614997853
Lhav_v2_contig_10016,904,157,1.90744423
Lhav_v2_contig_10017,1030,2405,25.64475079
Lhav_v2_contig_10018,972,20,0.225987469
Lhav_v2_contig_10019,980,8035,90.04931892
Lhav_v2_contig_1002,829,4467,59.18096588
Lhav_v2_contig_10020,763,219,3.152391907
Lhav_v2_contig_10021,1548,69,0.489551924
Lhav_v2_contig_10022,1410,798,6.215905535
Lhav_v2_contig_10023,2291,2612,12.52185615
Lhav_v2_contig_10024,468,359,8.424986672
Lhav_v2_contig_10025,346,105,3.332988593
Lhav_v2_contig_10026,564,428,8.334610178
Lhav_v2_contig_10027,223,87,4.284844016
Lhav_v2_contig_10028,1311,83,0.695338102
Lhav_v2_contig_10029,506,1166,25.30863139
Lhav_v2_contig_1003,1211,7443,67.50322203
Lhav_v2_contig_10030,1026,1792,19.18276788
Lhav_v2_contig_10031,1020,64,0.689128846
Lhav_v2_contig_10032,1354,5072,41.14160285
Lhav_v2_contig_10033,624,127,2.23532028
Lhav_v2_contig_10034,1955,1770,9.943679815
Lhav_v2_contig_10035,733,184,2.756985458
Lhav_v2_contig_10036,630,926,16.14325341
Lhav_v2_contig_10037,737,470,7.004078374
Lhav_v2_contig_10038,1078,348,3.545529556
Lhav_v2_contig_10039,1576,6288,43.82046148
Lhav_v2_contig_1004,2992,47819,175.5333041
Lhav_v2_contig_10040,473,9231,214.3424731
Lhav_v2_contig_10041,2987,9469,34.81685357
Lhav_v2_contig_10042,1577,150,1.044672573
Lhav_v2_contig_10043,447,164,4.029553738
Lhav_v2_contig_10044,2680,5833,23.90439791
Lhav_v2_contig_10045,1325,1358,11.25652963
Lhav_v2_contig_10046,2675,1538,6.314706591
Lhav_v2_contig_10047,827,698,9.269803755
Lhav_v2_contig_10048,1291,1463,12.44625547
Lhav_v2_contig_10049,2757,3077,12.25776687
Lhav_v2_contig_1005,1270,1899,16.42259833
Lhav_v2_contig_10050,543,404,8.171507103
Lhav_v2_contig_10051,856,86,1.103431337
Lhav_v2_contig_10052,239,21,0.96503268
Lhav_v2_contig_10053,490,82,1.837969919
Lhav_v2_contig_10054,657,1070,17.88706294
Lhav_v2_contig_10055,5165,2741,5.828534033
Lhav_v2_contig_10056,955,3735,42.95442023
Lhav_v2_contig_10057,1304,6245,52.59875666
Lhav_v2_contig_10058,232,372,17.61065795
Lhav_v2_contig_10059,269,1002,40.91062069
Lhav_v2_contig_1006,1647,3234,21.565873
Lhav_v2_contig_10060,1894,4019,23.30551254
Lhav_v2_contig_10061,2568,6788,29.03136401
Lhav_v2_contig_10062,2446,4809,21.59329666
Lhav_v2_contig_10063,1923,584,3.335448119
Lhav_v2_contig_10064,203,774,41.87603458
Lhav_v2_contig_10065,437,179,4.498753743
Lhav_v2_contig_10066,1965,3856,21.55237314
Lhav_v2_contig_10067,367,3442,103.0066893
Lhav_v2_contig_10068,2052,6735,36.04797479
Lhav_v2_contig_10069,1350,731,5.947086228
Lhav_v2_contig_1007,499,1229,27.05029242
Lhav_v2_contig_10070,390,245,6.899571258
Lhav_v2_contig_10071,1936,1328,7.533787203
Lhav_v2_contig_10072,860,544,6.947380342
Lhav_v2_contig_10073,2845,7444,28.73721788
Lhav_v2_contig_10074,1628,24,0.161911415
Lhav_v2_contig_10075,942,1473,17.17404004
Lhav_v2_contig_10076,369,2439,72.59489161
Lhav_v2_contig_10077,594,158,2.921401642
Lhav_v2_contig_10078,357,876,26.94986023
Lhav_v2_contig_10079,854,2979,38.31186199
Lhav_v2_contig_1008,841,139219,1818.122499
Lhav_v2_contig_10080,1229,2075,18.54329234
Lhav_v2_contig_10081,1843,3269,19.48095362
Lhav_v2_contig_10082,1489,1245,9.183226174
Lhav_v2_contig_10083,3116,1956,6.894329384
Lhav_v2_contig_10084,400,6,0.164744865
Lhav_v2_contig_10085,424,53,1.372873873
Lhav_v2_contig_10086,447,290,7.125430391
Lhav_v2_contig_10087,480,107,2.44829174
Lhav_v2_contig_10088,1141,261,2.512323091
Lhav_v2_contig_10089,548,1570,31.46586833
Lhav_v2_contig_1009,1233,33047,294.3673179
Lhav_v2_contig_10090,1114,1803,17.77588217
Lhav_v2_contig_10091,1692,4363,28.32079767
Lhav_v2_contig_10092,277,177,7.018012288
Lhav_v2_contig_10093,3395,15530,50.24030927
Lhav_v2_contig_10094,4218,11435,29.77489376
Lhav_v2_contig_10095,1160,2662,25.20407069
Lhav_v2_contig_10096,2327,195,0.920362373
Lhav_v2_contig_10097,1205,1991,18.14700004
Lhav_v2_contig_10098,222,132,6.530427071
Lhav_v2_contig_10099,2278,10895,52.52839629
Lhav_v2_contig_101,3763,5442,15.88345387
Lhav_v2_contig_1010,4072,8201,22.11972226
Lhav_v2_contig_10100,273,5782,232.6141167
Lhav_v2_contig_10101,1139,1945,18.75497582
Lhav_v2_contig_10102,1451,796,6.025128065
Lhav_v2_contig_10103,1685,1777,11.58265577
Lhav_v2_contig_10104,2214,2781,13.79570819
Lhav_v2_contig_10105,282,105,4.089411536
Lhav_v2_contig_10106,256,1716,73.62036143
Lhav_v2_contig_10107,2555,12613,54.2185774
Lhav_v2_contig_10108,1287,78,0.665635817
Lhav_v2_contig_10109,2519,2048,8.929402752
Lhav_v2_contig_1011,1331,1601,13.21094558
Lhav_v2_contig_10110,909,1953,23.59711924
Lhav_v2_contig_10111,380,459,13.266297
Lhav_v2_contig_10112,1710,1974,12.67861064
Lhav_v2_contig_10113,1899,3021,17.47215153
Lhav_v2_contig_10114,602,934,17.04005578
Lhav_v2_contig_10115,284,0,0
Lhav_v2_contig_10116,515,1104,23.54412047
Lhav_v2_contig_10117,1269,2332,20.18308508
Lhav_v2_contig_10118,2755,212,0.845152119
Lhav_v2_contig_10119,1236,1576,14.00420209
Lhav_v2_contig_1012,590,38932,724.7284829
Lhav_v2_contig_10120,531,366,7.570197174
Lhav_v2_contig_10121,3520,650,2.02810913
Lhav_v2_contig_10122,264,1048,43.59914602
Lhav_v2_contig_10123,1552,437,3.092504549
Lhav_v2_contig_10124,265,105,4.351751144
Lhav_v2_contig_10125,647,2839,48.19275332
Lhav_v2_contig_10126,1737,1562,9.876472029
Lhav_v2_contig_10127,1937,2878,16.31855862
Lhav_v2_contig_10128,1750,1007,6.319926811
Lhav_v2_contig_10129,2012,11284,61.59645638
Lhav_v2_contig_1013,1678,3751,24.55137019
Lhav_v2_contig_10130,1443,2438,18.55615524
Lhav_v2_contig_10131,1076,1189,12.13640918
Lhav_v2_contig_10132,1129,356,3.463192905
Lhav_v2_contig_10133,2056,208,1.11111971
Lhav_v2_contig_10134,736,2041,30.45690842
Lhav_v2_contig_10135,1042,681,7.177943243
Lhav_v2_contig_10136,2292,1681,8.055151763
Lhav_v2_contig_10137,349,313,9.850075007
Lhav_v2_contig_10138,2074,7585,40.16682093
Lhav_v2_contig_10139,369,18,0.535755658
Lhav_v2_contig_1014,378,212,6.15977272
Lhav_v2_contig_10140,2883,333,1.268586888
Lhav_v2_contig_10141,1334,1308,10.76892969
Lhav_v2_contig_10142,1426,8457,65.13545213
Lhav_v2_contig_10143,2908,12017,45.38603942
Lhav_v2_contig_10144,2254,6199,30.20566153
Lhav_v2_contig_10145,833,2293,30.23289114
Lhav_v2_contig_10146,2840,485,1.875616418
Lhav_v2_contig_10147,658,4399,73.42580142
Lhav_v2_contig_10148,1375,218,1.741303298
Lhav_v2_contig_10149,1963,311,1.740045948
Lhav_v2_contig_1015,2484,83849,370.7378466
Lhav_v2_contig_10150,2145,130,0.665635817
Lhav_v2_contig_10151,1083,4910,49.79361563
Lhav_v2_contig_10152,574,213,4.075569824
Lhav_v2_contig_10153,382,140,4.025179941
Lhav_v2_contig_10154,471,1353,31.54986582
Lhav_v2_contig_10155,1253,13,0.113949627
Lhav_v2_contig_10156,3255,4221,14.24245927
Lhav_v2_contig_10157,1858,2139,12.64403537
Lhav_v2_contig_10158,423,62,1.609800097
Lhav_v2_contig_10159,780,1667,23.47262304
Lhav_v2_contig_1016,900,5575,68.03352747
Lhav_v2_contig_10160,227,1076,52.06034492
Lhav_v2_contig_10161,465,748,17.66726291
Lhav_v2_contig_10162,324,30,1.016943609
Lhav_v2_contig_10163,612,100,1.79460637
Lhav_v2_contig_10164,1077,8,0.081582106
Lhav_v2_contig_10165,397,2544,70.37967017
Lhav_v2_contig_10166,397,1153,31.89770429
Lhav_v2_contig_10167,1543,2268,16.14350198
Lhav_v2_contig_10168,453,102,2.472991347
Lhav_v2_contig_10169,232,226,10.69894811
Lhav_v2_contig_1017,833,4857,64.03888019
Lhav_v2_contig_10170,431,10508,267.7709263
Lhav_v2_contig_10171,347,1299,41.11500082
Lhav_v2_contig_10172,321,4607,157.6281603
Lhav_v2_contig_10173,2486,3524,15.56880942
Lhav_v2_contig_10174,242,3739,169.6917491
Lhav_v2_contig_10175,1360,1814,14.6493718
Lhav_v2_contig_10176,1053,2178,22.71695571
Lhav_v2_contig_10177,3705,3900,11.56104314
Lhav_v2_contig_10178,2707,3423,13.88798601
Lhav_v2_contig_10179,5233,2231,4.682410258
Lhav_v2_contig_1018,1428,4458,34.28723655
Lhav_v2_contig_10180,2442,1885,8.47786159
Lhav_v2_contig_10181,234,83,3.895676289
