Contig ID,Size,Lmic_ech1,Lmic F ENV RPKM
Lmic_v1_contig_1,947,16791,226.5835883
Lmic_v1_contig_10,804,98468,1565.095835
Lmic_v1_contig_100,1924,10596,70.37829633
Lmic_v1_contig_1000,892,183,2.621730841
Lmic_v1_contig_10000,894,793,11.33541791
Lmic_v1_contig_10001,1220,1593,16.68621414
Lmic_v1_contig_10002,1242,5382,55.37630388
Lmic_v1_contig_10003,1394,1625,14.89678189
Lmic_v1_contig_10004,1014,487,6.137519342
Lmic_v1_contig_10005,1818,5550,39.01224759
Lmic_v1_contig_10006,4562,2252,6.308338263
Lmic_v1_contig_10007,714,711,12.72545315
Lmic_v1_contig_10008,2190,2462,14.36632878
Lmic_v1_contig_10009,872,700,10.2584896
Lmic_v1_contig_1001,2503,4489,22.91873396
Lmic_v1_contig_10010,1601,1569,12.52372375
Lmic_v1_contig_10011,222,571,32.86888723
Lmic_v1_contig_10012,606,97,2.045507036
Lmic_v1_contig_10013,1509,383,3.243481325
Lmic_v1_contig_10014,415,969,29.83853853
Lmic_v1_contig_10015,926,2678,36.95740367
Lmic_v1_contig_10016,911,3377,47.37121799
Lmic_v1_contig_10017,213,407,24.41837018
Lmic_v1_contig_10018,209,251,15.34720531
Lmic_v1_contig_10019,2934,1034,4.503625784
Lmic_v1_contig_1002,1364,20818,195.0412634
Lmic_v1_contig_10020,1253,5646,57.58265302
Lmic_v1_contig_10021,2044,7472,46.71515986
Lmic_v1_contig_10022,1998,772,4.937688449
Lmic_v1_contig_10023,2094,3139,19.15651508
Lmic_v1_contig_10024,1203,1578,16.76267169
Lmic_v1_contig_10025,1115,1684,19.30052344
Lmic_v1_contig_10026,1021,169,2.115255486
Lmic_v1_contig_10027,3521,3536,12.83358818
Lmic_v1_contig_10028,1693,404,3.049483407
Lmic_v1_contig_10029,1137,3861,43.39515106
Lmic_v1_contig_1003,2412,10610,56.21341219
Lmic_v1_contig_10030,2104,3837,23.3049369
Lmic_v1_contig_10031,280,482,21.99838885
Lmic_v1_contig_10032,278,306,14.06625539
Lmic_v1_contig_10033,1350,1321,12.50463204
Lmic_v1_contig_10034,450,1000,28.39810455
