ID-echantillon;Nom.espece;ID.espece;Famille;Sol;Tolerance;Hyperaccu;Localisation;Climat;Culture;Population accronyme ;Pop accronyme
Gpru_ech1;Geissois pruinosa;Gpru;Cunoniaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Sec;env;NA;NA
Gpru_ech2;Geissois pruinosa;Gpru;Cunoniaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Sec;env;NA;NA
Gpru_ech3;Geissois pruinosa;Gpru;Cunoniaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Sec;env;NA;NA
Grac_ech1;Geissois racemosa;Grac;Cunoniaceae;Non serpentinique;non;non;Nouvelle Caledonie;Mixte;env;NA;NA
Grac_ech2;Geissois racemosa;Grac;Cunoniaceae;Non serpentinique;non;non;Nouvelle Caledonie;Mixte;env;NA;NA
Grac_ech3;Geissois racemosa;Grac;Cunoniaceae;Non serpentinique;non;non;Nouvelle Caledonie;Mixte;env;NA;NA
Hbet_ech1;Homalium betulifoium;Hbet;Salicaceae;Serpentinique;oui;non;Nouvelle Caledonie;Rivulaire;env;NA;NA
Hbet_ech2;Homalium betulifoium;Hbet;Salicaceae;Serpentinique;oui;non;Nouvelle Caledonie;Rivulaire;env;NA;NA
Hbet_ech3;Homalium betulifoium;Hbet;Salicaceae;Serpentinique;oui;non;Nouvelle Caledonie;Rivulaire;env;NA;NA
Hkan_ech1;Homalium kanaliense;Hkan;Salicaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Rivulaire;env;NA;NA
Hkan_ech2;Homalium kanaliense;Hkan;Salicaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Rivulaire;env;NA;NA
Hkan_ech3;Homalium kanaliense;Hkan;Salicaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Rivulaire;env;NA;NA
Lhav_ech1;Leucocroton havanensis;Lhav;Euphorbiaceae;Serpentinique;oui;oui;Cuba;Sec;env;NA;NA
Lmic_ech1;Lasiocroton microphyllus;Lmic;Euphorbiaceae;Non serpentinique;non;non;Cuba;Foret;env;NA;NA
Mper_ech1;Microthlaspi perfoliatum;Mper;Brassicaceae;Non serpentinique;non;non;France;Prairie;hydroponic + ni;NA;NA
